Inviting,1
Desirable,1
Familiar,2
Satisfying,2
Confusing,3
Useful,4
Effective,4
Flexible,2
Helpful,5
Convenient,2
Friendly,1
High quality,2
Fast,3
Easy to use,6
Comfortable,2
Organized,7
Straight Forward,5
Comprehensive,3
Clean,2
Relevant,3
Intimidating,3
Professional,4
Simplistic,4
Efficient,2
Overwhelming,4
Rigid,3
Approachable,2
Complex,2
Consistent,3
Advanced,1
Collaborative,3
Time-consuming,6
Busy,4
Essential,1
Irrelevant,1
Stressful,2
Unconventional,2
Dull,1
Unrefined,2
Annoying,2
Unattractive,1
Poor quality,1
Ineffective,1
Inconsistent,2
Difficult,2
Undesirable,1
Impersonal,1
Unpredictable,1
Predictable,3
Creative,2
Engaging,2
Reliable,3
Powerful,1
Attractive,0
Cutting edge,0
Dated,0
Entertaining,0
Exceptional,0
Exciting,0
Innovative,0
Inspiring,0
Patronizing,0
Personal,0
Trustworthy,0
